id,cantrip,type,casting_time,range,components,duration,effect,damage
bb8dd08a-e6f6-11ea-adc1-0242ac120002,Acid Splash,Conjuration,1 action,60 feet,"V, S",Instantaneous,"You hurl a bubble of acid. Choose one creature within range, or choose two creatures within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 damage.","This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level(4d6)."
bb8dd2e2-e6f6-11ea-adc1-0242ac120002,Chill Touch,Necromancy,1 action,120 feet,"V, S",1 round,"You create a ghostly, skeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. If you hit an undead target, it has disadvantage on attack rolls against you until the end of your next turn.","On a hit, the target takes 1d8 necrotic damage, and it can't regain hit points until the start of your next turn. Until then, the hand clings to the target.This spell's damage increases by 1d8 when you reach 5th level (2db), 11th level (3d8), and 17th level (4d8)."
bb8dd3d2-e6f6-11ea-adc1-0242ac120002,Dancing Lights,Evocation,1 action,120 feet,"V, S, M (a bit of phosphorus or wychwood, or a glowworm)","Concentration, up to 1 minute","You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you choose, each light sheds dim light in a 10-foot radius. As a bonus action on your turn, you can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spell, and a light winks out if it exceeds the spell's range.",None
bb8dd6c0-e6f6-11ea-adc1-0242ac120002,Fire Bolt,Evocation,1 action,120 feet,"V, S",Instantaneous,You hurl a mote of fire at a creature or object within range. Make a ranged spell attack against the target. A flammable object hit by this spell ignites if it isn't being worn or carried.,"On a hit, the target takes 1d10 fire damage. This spell's damage increases by 1d10 when you reach 5th level (2d10), 11th level(3d10), and 17th level (4d10)."
bb8dd7a6-e6f6-11ea-adc1-0242ac120002,Light,Evocation,1 action,Touch,"V, M (a firefly or phosphorescent moss)",1 hour,"You touch one object that is no larger than 10 feet in any dimension. Until the spell ends, the object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. The light can be colored as you like. Completely covering the object with something opaque blocks the light. The spell ends if you cast it again or dismiss it as an action. If you target an object held or worn by hostile creature, that creature must succeed on a Dexterity saving throw to avoid the spell.",None
bb8dd864-e6f6-11ea-adc1-0242ac120002,Mage Hand,Conjuration,1 action,30 feet,"V, S",1 minute,"A spectral, floating hand appears at a point you choose within range. The hand lasts for the duration or until you dismiss it as an action. The hand vanishes if it is ever more than 30 feet away form you or if you cast this spell again. You can use your action to control the hand. You can use the hand to manipulate an object, open an unlocked door or container, stow or retrieve an item from an open container, or pour the contents out of a vial. You can move the hand up to 30 feet each time you use it. The hand can't attack, activate magic items, or carry more than 10 pounds.",None
bb8dd922-e6f6-11ea-adc1-0242ac120002,Mending,Transmutation,1 minute,Touch,"V, S, M (two lodestones)",Instantaneous,"This spell repairs a single break or tear in an object you touch, such as a broken chain link, two halves of a broken key, a torn cloak, or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension, you mend it, leaving no trace of the former damage. This spell can physically repair a magic or construct, but the spell can't restore magic to such an object.",None
bb8dd9fe-e6f6-11ea-adc1-0242ac120002,Message,Transmutation,1 action,120 feet,"V, S, M (a short piece of copper wire)",1 round,"You point your finger toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply in a whisper that only you can hear. You can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier. Magical silence, 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood blocks the spell. The spell doesn't have to follow a straight line and can travel freely around corners or through openings.",None
bb8ddac6-e6f6-11ea-adc1-0242ac120002,Minor Illusion,Illusion,1 action,30 feet,"S, M (a bit of fleece)",1 minute,"You create a sound or an image of an object within range that lasts for the duration. The illusion also ends if you dismiss it as an action or cast this spell again. If you create a sound, its volume can range from a whisper to a scream. If can be your voice, someone else's voice, a lion's roar, a beating of drums, or any other sound you choose. The sound continues unabated throughout the duration, or you can make discrete sounds at different times before the spell ends. If you create an image or an object--such as a chair, muddy footprints, or a small chest--it must be no larger than a 5-foot cuve. The image can't create sound, light, smell, or any other sensory effect. Physical interaction with the image reveals it be an illusion, because things can pass through it. If a creature uses its action to examine the sound or image, the creature can determine that it is an illusion with a successful intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the illusion becomes faint to the creature.",None
bb8ddb84-e6f6-11ea-adc1-0242ac120002,Poison Spray,Conjuration,1 action,10 feet,"V, S",Instantaneous,You extend your hand toward a creature you can see within range and project a puff of noxious gas from you palm.,"The creature must succeed on a Constitution saving throw or take 1d12 poison damage. This spell's damage increases by 1d12 when you reach 5th level (2d12), 11th level 3d12), and 17th level(4d12)."
1bb8dddb4-e6f6-11ea-adc1-0242ac120002,Prestidigation,Transmutation ,1 action,10 feet,"V, S",Up to 1 hour,"This spell is a minor magical trick that novice spell casters use for practice. If you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action. You create one of the following magical effects within range: 1) Your create an instantaneous, harmless sensory effect, such as a shower of sparks, a puff of wind, faint musical notes, or an odd odor. 2) You instantaneously light or snuff out a candle, a torch, or a small campfire. 3) You instantaneously clean or soil an object no larger than 1 cubic foot. 4) You chill, warm, or flavor up to 1 cubic foot of nonliving material for 1 hour. 5) You make a color, a small mark, or a symbol appear on an object or a surface for 1 hour. 6) You create a nonmagical trinket or an illusory image that can fit in your hand and that lasts until the end of your next turn. ",None
bb8dde7c-e6f6-11ea-adc1-0242ac120002,Ray of Frost,Evocation,1 action,60 feet,"V, S",Instantaneous,A frigid beam of blue-white light streaks toward a creature within range. Make a ranged spell attack against the target.,"On a hit, it takes 1d8 cold damage, and its speed is reduced by 10 feet until the start of your next turn. The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
bb8ddf3a-e6f6-11ea-adc1-0242ac120002,Shocking Grasp,Evocation,1 action,Touch,"V, S ",Instantaneous,Lightning springs from your hand to deliver a shock to a creature you try to touch. Make a melee spell attack against the target. You have advantage on the attack roll if the target is wearing armor made of metal.,"On a hit, the target takes 1d8 lightning damage, and it can't take reactions until the start of its next turn. The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
bb8ddff8-e6f6-11ea-adc1-0242ac120002,True Strike,Divination,1 action,30 feet,S,"Concentration, up to 1 round","You extend your hand and point a finger at a target in range. Your magic grants you a brief insight into the target's defenses. On you next turn, you gain advantage on your first attack the target, provided that this spell hasn't ended.",None


      const data =
        `cantrip,type,casting_time,range,components,duration,effect,damage
        Acid Splash,Conjuration,1 action,60 feet,'V S',Instantaneous,"You hurl a bubble of acid. Choose one creature within range or choose two creatures within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 damage.","This spells damage increases by 1d6 when you reach 5th level (2d6) 11th level (3d6) and 17th level(4d6)."
        Chill Touch,Necromancy,1 action,120 feet,"V S",1 round,"You create a ghostly skeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. If you hit an undead target it has disadvantage on attack rolls against you until the end of your next turn.","On a hit the target takes 1d8 necrotic damage and it cant regain hit points until the start of your next turn. Until then the hand clings to the target.This spells damage increases by 1d8 when you reach 5th level (2db) 11th level (3d8) and 17th level (4d8)."
        Dancing Lights,Evocation,1 action,120 feet,"V S M (a bit of phosphorus or wychwood or a glowworm)","Concentration up to 1 minute","You create up to four torch-sized lights within range making them appear as torches lanterns or glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you choose each light sheds dim light in a 10-foot radius. As a bonus action on your turn you can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spell and a light winks out if it exceeds the spells range.",None
        Fire Bolt,Evocation,1 action,120 feet,"V S",Instantaneous,You hurl a mote of fire at a creature or object within range. Make a ranged spell attack against the target. A flammable object hit by this spell ignites if it isnt being worn or carried.,"On a hit the target takes 1d10 fire damage. This spells damage increases by 1d10 when you reach 5th level (2d10) 11th level(3d10) and 17th level (4d10)."
        Light,Evocation,1 action,Touch,"V M (a firefly or phosphorescent moss)",1 hour,"You touch one object that is no larger than 10 feet in any dimension. Until the spell ends the object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. The light can be colored as you like. Completely covering the object with something opaque blocks the light. The spell ends if you cast it again or dismiss it as an action. If you target an object held or worn by hostile creature that creature must succeed on a Dexterity saving throw to avoid the spell.",None
        Mage Hand,Conjuration,1 action,30 feet,"V S",1 minute,"A spectral floating hand appears at a point you choose within range. The hand lasts for the duration or until you dismiss it as an action. The hand vanishes if it is ever more than 30 feet away form you or if you cast this spell again. You can use your action to control the hand. You can use the hand to manipulate an object open an unlocked door or container stow or retrieve an item from an open container or pour the contents out of a vial. You can move the hand up to 30 feet each time you use it. The hand cant attack activate magic items or carry more than 10 pounds.",None
        Mending,Transmutation,1 minute,Touch,"V S M (two lodestones)",Instantaneous,"This spell repairs a single break or tear in an object you touch such as a broken chain link two halves of a broken key a torn cloak or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension you mend it leaving no trace of the former damage. This spell can physically repair a magic or construct but the spell cant restore magic to such an object.",None
        Message,Transmutation,1 action,120 feet,"V S M (a short piece of copper wire)",1 round,"You point your finger toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply in a whisper that only you can hear. You can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier. Magical silence 1 foot of stone 1 inch of common metal a thin sheet of lead or 3 feet of wood blocks the spell. The spell doesnt have to follow a straight line and can travel freely around corners or through openings.",None
        Minor Illusion,Illusion,1 action,30 feet,"S M (a bit of fleece)",1 minute,"You create a sound or an image of an object within range that lasts for the duration. The illusion also ends if you dismiss it as an action or cast this spell again. If you create a sound its volume can range from a whisper to a scream. If can be your voice someone elses voice a lions roar a beating of drums or any other sound you choose. The sound continues unabated throughout the duration or you can make discrete sounds at different times before the spell ends. If you create an image or an object--such as a chair muddy footprints or a small chest--it must be no larger than a 5-foot curve. The image cant create sound light or smell or any other sensory effect. Physical interaction with the image reveals it be an illusion because things can pass through it. If a creature uses its action to examine the sound or image the creature can determine that it is an illusion with a successful intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is the illusion becomes faint to the creature.",None
        Poison Spray,Conjuration,1 action,10 feet,"V S",Instantaneous,You extend your hand toward a creature you can see within range and project a puff of noxious gas from you palm.,"The creature must succeed on a Constitution saving throw or take 1d12 poison damage. This spells damage increases by 1d12 when you reach 5th level (2d12) 11th level 3d12) and 17th level(4d12)."
        Prestidigitation,Transmutation ,1 action,10 feet,"V S",Up to 1 hour,"This spell is a minor magical trick that novice spell casters use for practice. If you cast this spell multiple times you can have up to three of its non-instantaneous effects active at a time and you can dismiss such an effect as an action. You create one of the following magical effects within range: 1) Your create an instantaneous harmless sensory effect such as a shower of sparks a puff of wind faint musical notes or an odd odor. 2) You instantaneously light or snuff out a candle a torch or a small campfire. 3) You instantaneously clean or soil an object no larger than 1 cubic foot. 4) You chill or warm or flavor up to 1 cubic foot of nonliving material for 1 hour. 5) You make a color or a small mark or a symbol appear on an object or a surface for 1 hour. 6) You create a nonmagical trinket or an illusory image that can fit in your hand and that lasts until the end of your next turn. ",None
        Ray of Frost,Evocation,1 action,60 feet,"V S",Instantaneous,A frigid beam of blue-white light streaks toward a creature within range. Make a ranged spell attack against the target.,"On a hit it takes 1d8 cold damage and its speed is reduced by 10 feet until the start of your next turn. The spells damage increases by 1d8 when you reach 5th level (2d8) 11th level (3d8) and 17th level (4d8)."
        Shocking Grasp,Evocation,1 action,Touch,"V S ",Instantaneous,Lightning springs from your hand to deliver a shock to a creature you try to touch. Make a melee spell attack against the target. You have advantage on the attack roll if the target is wearing armor made of metal.,"On a hit the target takes 1d8 lightning damage and it cant take reactions until the start of its next turn. The spells damage increases by 1d8 when you reach 5th level (2d8) 11th level (3d8) and 17th level (4d8)."
        True Strike,Divination,1 action,30 feet,S,"Concentration up to 1 round","You extend your hand and point a finger at a target in range. Your magic grants you a brief insight into the targets defenses. On you next turn you gain advantage on your first attack the target provided that this spell hasnt ended.",None`;
